milisegundos,datos
0,1978
10,1978
20,1976
30,1903
40,1904
50,1884
60,1882
70,1904
80,1915
90,1896
100,1909
110,1909
120,1901
130,1903
140,1909
150,1889
160,1899
170,1915
180,1900
190,1907
200,1902
210,1904
220,1906
230,1904
240,1906
250,1913
260,1903
270,1895
280,1921
290,1904
300,1904
310,1910
320,1911
330,1905
340,1903
350,1904
360,1910
370,1923
380,1904
390,1909
400,1918
410,1917
420,1904
430,1903
440,1904
450,1918
460,1904
470,1904
480,1914
490,1905
500,2202
510,1968
520,1901
530,1898
540,1898
550,1906
560,1899
570,1955
580,1904
590,1901
600,1910
610,1903
620,1919
630,1906
640,1886
650,1908
660,1905
670,1906
680,1905
690,1889
700,1904
710,1899
720,1909
730,1903
740,1945
750,1901
760,1904
770,1904
780,1910
790,1907
800,1904
810,1906
820,1906
830,1909
840,1917
850,1902
860,1907
870,1904
880,1899
890,1904
900,1904
910,1894
920,1904
930,1936
940,1901
950,1903
960,1906
970,1919
980,1904
990,1913
1000,1914
1010,1904
1020,1883
1030,1904
1040,1905
1050,1913
1060,1901
1070,1911
1080,1895
1090,1898
1100,1904
1110,2285
1120,1963
1130,1915
1140,1901
1150,1909
1160,1905
1170,1904
1180,1911
1190,1910
1200,1891
1210,1913
1220,1904
1230,1904
1240,1917
1250,1905
1260,1914
1270,1893
1280,1905
1290,1903
1300,1895
1310,1895
1320,1906
1330,1899
1340,1904
1350,1900
1360,1897
1370,1895
1380,1910
1390,1898
1400,1905
1410,1904
1420,1907
1430,1895
1440,1886
1450,1905
1460,1904
1470,1904
1480,1903
1490,1906
1500,1907
1510,1904
1520,1907
1530,1911
1540,1889
1550,1906
1560,1909
1570,1903
1580,1908
1590,1903
1600,1920
1610,1929
1620,1940
1630,1915
1640,1910
1650,1899
1660,1873
1670,1872
1680,1906
1690,1935
1700,1874
1710,1901
1720,2138
1730,1969
1740,1876
1750,1877
1760,1870
1770,1891
1780,1899
1790,1875
1800,1911
1810,1898
1820,1889
1830,1877
1840,1888
1850,1895
1860,1897
1870,1882
1880,1883
1890,1895
1900,1899
1910,1910
1920,1885
1930,1808
1940,1891
1950,1904
1960,1904
1970,1916
1980,1921
1990,1909
2000,1905
2010,1905
2020,1909
2030,1915
2040,1898
2050,1919
2060,1911
2070,1910
2080,1936
2090,1920
2100,1930
2110,1895
2120,1913
2130,1885
2140,1922
2150,1904
2160,1938
2170,1936
2180,1942
2190,1946
2200,1937
2210,1953
2220,1969
2230,1968
2240,1973
2250,1954
2260,1939
2270,1936
2280,1958
2290,1966
2300,1970
2310,2005
2320,1984
2330,2332
2340,2057
2350,1699
2360,1956
2370,1933
2380,1939
2390,1951
2400,1968
2411,1959
2420,1968
2430,1977
2440,1983
2450,1955
2460,1967
2470,1967
2480,1958
2490,1945
2500,1939
2510,1936
2520,1958
2530,1942
2540,1950
2550,1954
2560,1983
2570,1945
2580,1969
2590,2013
2600,1999
2610,1985
2620,1983
2630,1990
2640,1986
2650,1979
2660,1973
2670,1983
2680,1968
2690,1968
2700,1990
2710,1981
2720,2030
2730,2035
2740,1988
2750,1973
2760,1971
2770,2015
2780,1967
2790,1962
2800,1958
2810,1955
2820,2000
2830,1985
2840,2015
2850,2034
2860,2014
2870,2027
2880,1984
2890,1951
2900,1961
2910,1968
2920,1974
2930,1978
2940,2051
2950,2037
2960,1918
2970,2011
2980,2001
2990,2045
3000,2027
3010,1941
3020,1998
3030,2002
3040,2023
3050,2007
3060,2023
3070,1890
3080,1791
3090,1751
3100,2069
3110,2256
3120,2000
3130,2126
3140,2192
3150,2115
3160,2105
3170,2108
3180,2125
3190,2162
3200,2128
3210,2057
3220,2016
3230,2075
3240,2131
3250,2123
3260,2082
3270,2081
3280,2160
3290,2162
3300,2138
3310,2143
3320,2128
3330,2134
3340,2094
3350,2107
3360,2098
3370,2145
3380,2131
3390,2122
3400,2091
3410,2073
3420,2071
3430,2042
3440,2039
3450,2062
3460,2080
3470,2159
3480,2155
3490,2095
3500,2123
3510,2130
3520,2109
3530,2086
3540,2085
3550,2385
3560,2087
3570,1949
3580,2002
3590,2090
3600,2075
3610,2032
3620,2029
3630,2064
3640,2055
3650,2021
3660,2021
3670,2012
3680,1983
3690,1920
3700,1936
3710,1989
3720,2018
3730,1968
3741,1907
3750,1877
3760,1904
3770,1930
3780,1909
3790,1920
3800,1939
3810,1910
3820,1844
3830,1877
3840,1885
3850,1963
3860,1883
3870,1840
3880,1871
3890,1890
3900,1921
3910,1921
3920,1904
3930,1862
3940,1735
3950,1797
3960,1891
3970,1919
3980,1923
3990,1911
