06/05/2022 19:01:52 MQTT-APP:  app/inicio 2.
06/05/2022 19:01:53 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:01:53 MQTT-NODO: test/logEsp Archivo:: <A1651874512713.csv>.
06/05/2022 19:01:53 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:01:54 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:01:54 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:29 MQTT-APP:  app/inicio 20.
06/05/2022 19:02:29 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:29 MQTT-NODO: test/logEsp Archivo:: <A1651874549383.csv>.
06/05/2022 19:02:30 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:30 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:31 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:32 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:32 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:33 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:33 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:34 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:35 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:35 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:36 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:36 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:37 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:38 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:38 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:39 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:40 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:40 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:41 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:02:41 MQTT-NODO: test/logEsp test/alarmas: <4>.
